ID,TARGET
2,0.148
5,0.012
6,0.001
7,0.0
9,0.0
11,0.078
12,0.059
15,0.013
16,0.017
17,0.003
19,0.0
21,0.0
22,0.018
24,0.003
27,0.004
28,0.064
30,0.098
33,0.0
35,0.01
37,0.029
38,0.0
40,0.0808732682104
41,0.013
44,0.002
46,0.047
47,0.002
48,0.0
50,0.0
52,0.211128571429
53,0.0
55,0.0
57,0.0
58,0.036
59,0.0
62,0.02
63,0.0
64,0.0
65,0.0
67,0.002
69,0.056
70,0.0
71,0.212
72,0.008
73,0.0
76,0.0
78,0.0
79,0.03
81,0.022
85,0.0
86,0.0
89,0.024
94,0.001
96,0.0
97,0.02
98,0.0
99,0.001
100,0.05
103,0.035
104,0.007
108,0.007
110,0.0
112,0.001
114,0.0836529428341
116,0.02
117,0.042
119,0.004
120,0.0
121,0.0
123,0.023
124,0.00173333333333
126,0.001
128,0.001
129,0.095
133,0.058
138,0.01
147,0.0
149,0.067
158,0.0
160,0.0
164,0.049
167,0.034
168,0.046
174,0.004
181,0.025
185,0.018
187,0.022
189,0.022
190,0.037
194,0.004
197,0.143
198,0.0
201,0.078
205,0.001
208,0.095
211,0.0
216,0.0
219,0.079
223,0.003
224,0.000774061913696
226,0.0
229,0.0
230,0.027
237,0.001
238,0.0
240,0.027
243,0.0
245,0.0525
246,0.685
247,0.008
248,0.009
249,0.0
250,0.524595238095
251,0.0
255,0.168
256,0.025
257,0.11
260,0.0195392857143
261,0.005
263,0.188
264,0.319990838667
267,0.001
268,0.015
272,0.013
274,0.003
275,0.001
277,0.883
278,0.264
280,0.002
281,0.065
282,0.104
283,0.0
284,0.112
286,0.00103790375042
290,0.014
291,0.01
293,0.0
295,0.058
297,0.0
298,0.02
300,0.0
304,0.002
305,0.003
308,0.036
309,0.0
310,0.017
312,0.001
313,0.0708979623174
315,0.008
317,0.018
318,0.0
321,0.008
323,0.039
325,0.002
326,0.0
327,0.016
328,0.037
329,0.0
330,0.002
331,0.001
334,0.019
335,0.001
336,0.055
337,0.047
338,0.0267984126984
339,0.0
341,0.298
343,0.012
346,0.011
348,0.0
350,0.181
351,0.002
352,0.0247739815103
357,0.05
358,0.0
360,0.009
361,0.0
364,0.031
365,0.08
366,0.006
367,0.001
368,0.005
370,0.0
372,0.001
376,0.0
377,0.003
379,0.037
380,0.0
381,0.007
385,0.0
386,0.016
389,0.001
391,0.026
392,0.0
393,0.004
395,0.025
396,0.004
397,0.002
398,0.011
399,0.056
400,0.026
401,0.027
403,0.004
405,0.049
406,0.003
409,0.0
411,0.005
413,0.005
418,0.0
419,0.0
422,0.0247739815103
424,0.194
425,0.038
427,0.0
430,0.0
431,0.0
434,0.0
435,0.0
437,0.004
438,0.005
439,0.008
442,0.0
446,0.001
450,0.062
451,0.0
452,0.006
454,0.0
455,0.002
463,0.0
464,0.0
465,0.003
467,0.113439931069
468,0.05
470,0.002
472,0.253
473,0.0
475,0.016
476,0.004
479,0.0
481,0.001
483,0.0
484,0.036
486,0.015
487,0.0
491,0.001
494,0.031
495,0.009
497,0.079
498,0.003
499,0.0
503,0.029
504,0.01
505,0.004
506,0.017
507,0.03
508,0.004
509,0.0
510,0.017
511,0.00135
512,0.044
516,0.002
518,0.006
519,0.003
520,0.001
521,0.0
522,0.006
524,0.008
525,0.003
526,0.0
528,0.0
529,0.032
531,0.048
532,0.582
534,0.123
536,0.064
539,0.122
540,0.009
541,0.0
542,0.001
545,0.0
546,0.0
552,0.045
